branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,hash,git_hash,modified
develop,cheyenne,intel,18.0.5,intelmpi,2018.4.274,O,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,cheyenne,intel,18.0.5,intelmpi,2018.4.274,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,cheyenne,intel,18.0.5,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,cheyenne,intel,18.0.5,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,cheyenne,intel,18.0.5,mpt,2.19,O,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,cheyenne,intel,18.0.5,mpt,2.19,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,cheyenne,intel,18.0.5,openmpi,3.1.4,O,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,cheyenne,intel,18.0.5,openmpi,3.1.4,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7af543ad9c81747414e3bd4809018f00a34302cd),02/24/2022_18:24:53
develop,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,O,Linux,Pass,13685,0,49,0,80,0,44,6,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4db8b79b2701034564a8f9f02c179af69258c920),02/24/2022_18:25:25
develop,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,g,Linux,Pass,13685,0,49,0,80,0,44,6,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4db8b79b2701034564a8f9f02c179af69258c920),02/24/2022_18:25:25
develop,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,O,Linux,Pass,13685,0,49,0,80,0,44,6,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4db8b79b2701034564a8f9f02c179af69258c920),02/24/2022_18:25:25
develop,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,g,Linux,Pass,13685,0,49,0,80,0,44,6,v8.3.0b08-1-gd4bb168,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4db8b79b2701034564a8f9f02c179af69258c920),02/24/2022_18:25:25
develop,discover,gfortran,10.1.0,intelmpi,19.1.3.304,g,Linux,Pass,13670,15,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,cece662812951dd28f9287f26f76320a99fab4fb,02/24/2022_18:17:24
develop,discover,gfortran,8.3.0,intelmpi,19.1.3.304,g,Linux,Pass,13670,15,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,cece662812951dd28f9287f26f76320a99fab4fb,02/24/2022_18:17:24
develop,discover,gfortran,8.3.0,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,cece662812951dd28f9287f26f76320a99fab4fb,02/24/2022_18:17:24
develop,discover,gfortran,8.3.0,mpt,2.17,g,Linux,Pass,13685,0,49,0,80,0,46,4,v8.3.0b08-1-gd4bb168,cece662812951dd28f9287f26f76320a99fab4fb,02/24/2022_18:17:24
develop,discover,intel,2020,intelmpi,19.1.3.304,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,cece662812951dd28f9287f26f76320a99fab4fb,02/24/2022_18:17:24
develop,discover,intel,2020,mpt,2.17,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,cece662812951dd28f9287f26f76320a99fab4fb,02/24/2022_18:17:24
develop,discover,pgi,2020,mpiuni,none,g,Linux,Pass,11536,622,4,4,40,3,0,50,v8.3.0b08-1-gd4bb168,cece662812951dd28f9287f26f76320a99fab4fb,02/24/2022_18:17:24
develop,gaea,gfortran,8.3.0,mpi,7.7.11,O,Unicos,Pass,13684,1,49,0,80,0,47,3,v8.3.0b08-1-gd4bb168,96881748564c3a758b4532e16c376ca637af592e,02/24/2022_18:17:49
develop,gaea,gfortran,8.3.0,mpi,7.7.11,g,Unicos,Pass,13684,1,49,0,80,0,47,3,v8.3.0b08-1-gd4bb168,96881748564c3a758b4532e16c376ca637af592e,02/24/2022_18:17:49
develop,gaea,gfortran,8.3.0,mpiuni,none,O,Unicos,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,96881748564c3a758b4532e16c376ca637af592e,02/24/2022_18:17:49
develop,gaea,gfortran,8.3.0,mpiuni,none,g,Unicos,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,96881748564c3a758b4532e16c376ca637af592e,02/24/2022_18:17:49
