branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,hera,gfortran 9.2.0,mpiuni none,4.7.2 4.5.2,O,Linux,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8204e19226752296f0d282afc2f265ae62a44895/develop/hera/gfortran/9.2.0/O/mpiuni/none),2022-03-15 10:24:16 +0000
develop,hera,gfortran 9.2.0,mpiuni none,4.7.2 4.5.2,g,Linux,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6e7d76ff00d60ce3228f794e227adee3c1490f1b/develop/hera/gfortran/9.2.0/g/mpiuni/none),2022-03-15 10:30:28 +0000
develop,hera,gfortran 9.2.0,openmpi 3.1.4,4.7.2 4.5.2,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e25f6bcd8cc6edb1b6907c5a0517f9980e6ccafd/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),2022-03-15 12:06:05 +0000
develop,hera,gfortran 9.2.0,openmpi 3.1.4,4.7.2 4.5.2,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2261d19a4d7de4fa4d5ec81e4bf0d847ebc38202/develop/hera/gfortran/9.2.0/g/openmpi/3.1.4),2022-03-15 12:07:09 +0000
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,O,Linux,pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b1613e9805e3979d771e07ddaa2c972010200a46/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),2022-03-15 10:27:58 +0000
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,g,Linux,pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cb42475c258bde9c006f644b80455d3ce9e32d84/develop/hera/gfortran/9.2.0b/g/intelmpi/2020),2022-03-15 10:28:55 +0000
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.4 4.5.3,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9038556b2d4d16f93913583e8b65fe663e8f4b6f/develop/hera/intel/18.0.4/O/intelmpi/2018.4.274),2022-03-15 11:06:01 +0000
develop,hera,intel 18.0.4,intelmpi 2018.4.274,4.7.4 4.5.3,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9038556b2d4d16f93913583e8b65fe663e8f4b6f/develop/hera/intel/18.0.4/g/intelmpi/2018.4.274),2022-03-15 11:06:01 +0000
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d880bb761e0de59928bc70485f44b8ba18026aa7/develop/hera/intel/18.0.4/O/mpiuni/none),2022-03-15 10:06:21 +0000
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b3ec24bd05ce7acf6c73bc1ec88baf885e275c82/develop/hera/intel/18.0.4/g/mpiuni/none),2022-03-15 10:06:19 +0000
develop,hera,pgi 18.1,intelmpi 2018.0.4,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/334e08fb41af41392d5e9ae688f74d8b9e5b9a61/develop/hera/pgi/18.1/O/intelmpi/2018.0.4),2022-03-15 12:09:06 +0000
develop,hera,pgi 18.1,intelmpi 2018.0.4,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f614f2c3840af1a5d71434f7d8c933e1fcff36b8/develop/hera/pgi/18.1/g/intelmpi/2018.0.4),2022-03-15 12:13:03 +0000
