branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/67639d3a938463bde26b682ab6774bcff315b3aa/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-03-17 01:43:43 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2c4a1f11244c039bcd456432a0811f86db101e6a/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-03-17 01:55:22 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2ff7ba81848b5c428a81423ffb034183b39153b7/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-03-17 01:36:58 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13254,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d87d99e5d5859ebb99168624872fa03eec01ee2c/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-03-17 01:52:02 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f36cd5db861c1aa1ecdc4fc8ab39fa9126905a67/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-03-17 01:30:18 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5873dc6a136714f1a3a90296b0746d1e7950b8c8/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-03-17 01:44:57 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13269,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b2a128b7fdb65c97530d54e5090af0c0addd13c4/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-17 01:34:02 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13269,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/67639d3a938463bde26b682ab6774bcff315b3aa/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-03-17 01:43:43 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2c4a1f11244c039bcd456432a0811f86db101e6a/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-03-17 01:55:22 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13269,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/723b238be81d84c5c792bdbc25a0e18fc2953506/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-03-17 02:02:12 -0400
