branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,hera,gfortran 9.2.0,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d62a99bf94f4c8a4280981bfbf68c5635b601c5b/develop/hera/gfortran/9.2.0/O/mpiuni/none),2022-03-23 17:36:38 +0000
develop,hera,gfortran 9.2.0,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e4cf94c36e56458fc598d05025f15339a8bf52e2/develop/hera/gfortran/9.2.0/g/mpiuni/none),2022-03-23 17:48:10 +0000
develop,hera,gfortran 9.2.0,openmpi 3.1.4,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ee66f641b57472a8c6110c624641ae2de8c64b4a/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),2022-03-23 17:39:10 +0000
develop,hera,gfortran 9.2.0,openmpi 3.1.4,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2dc9c1d4d9e7065fd623a728b5ed8545ae6fdb33/develop/hera/gfortran/9.2.0/g/openmpi/3.1.4),2022-03-23 17:50:00 +0000
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,O,Linux,pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/55ddc18db5e6d97c667e1671ea1ceb035b094eba/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),2022-03-23 18:09:49 +0000
develop,hera,gfortran 9.2.0b,intelmpi 2020,N/A N/A,g,Linux,pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1aed9e0e293e093043d06306d4c399e2665afd1f/develop/hera/gfortran/9.2.0b/g/intelmpi/2020),2022-03-23 18:21:55 +0000
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a4c23eb1c8eecc8693db124c7cfa642f4e0f530f/develop/hera/intel/18.0.4/O/mpiuni/none),2022-03-23 17:35:14 +0000
develop,hera,intel 18.0.4,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/533171f19a7f3f7f51a79911834ce101efdc83ba/develop/hera/intel/18.0.4/g/mpiuni/none),2022-03-23 17:45:41 +0000
develop,hera,pgi 18.1,intelmpi 2018.0.4,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/46145839a24874ca112950cc3ff5d71ebde2c49e/develop/hera/pgi/18.1/O/intelmpi/2018.0.4),2022-03-23 19:46:23 +0000
develop,hera,pgi 18.1,intelmpi 2018.0.4,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d09c2c3961dffffc128000b0c7139eb58ccb5b19/develop/hera/pgi/18.1/g/intelmpi/2018.0.4),2022-03-23 20:07:16 +0000
