branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4079053775c4eaa8e0af9e44d44492a214c67a42/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-03-25 01:56:03 -0400
develop,chianti,gfortran 9.3.0,openmpi 4.0.5-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3929d875a6e1897374f664916b4f573a65017ab7/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-03-25 02:52:36 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/62b853f78a9af1155fd7a562e234c3008f3ac61c/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-03-25 02:26:03 -0400
develop,chianti,intel 2021.2,intelmpi 2021.2.0-gcc-9.3.0,4.8.0 4.5.3,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c7aeb6a9949c2569eea7338788388fa9f6809a7b/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-03-25 03:23:17 -0400
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,O,Unicos,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3232e0b5d63afc61d4fb79267fdbadb4c986dde4/develop/cori/intel/19.0.3/O/mpi/7.7.10),2022-03-25 04:16:22 -0700
develop,cori,intel 19.0.3,mpi 7.7.10,4.6.3 4.4.5,g,Unicos,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e4cd2085254af86399b876155304d04b38272ca3/develop/cori/intel/19.0.3/g/mpi/7.7.10),2022-03-25 04:14:31 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/213e9581cfca8d1e524e610e51677f4cdce21739/develop/cori/intel/19.0.3/O/mpiuni/none),2022-03-25 03:51:40 -0700
develop,cori,intel 19.0.3,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/75e8518a23131aec4fa258d549a87d366fdbc3c2/develop/cori/intel/19.0.3/g/mpiuni/none),2022-03-25 03:53:19 -0700
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6be9d0e6e37dc28dc29a30c739d7e5ee25681850/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-03-25 01:41:14 -0400
develop,discover,gfortran 10.1.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fd5bef3c64bd1356d004d2a6b97aab78304f244d/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-03-25 01:54:12 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,O,Linux,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8c0bb2ca137090021fad787d5be4878eb3af6d50/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-03-25 01:39:42 -0400
develop,discover,gfortran 8.3.0,intelmpi 19.1.3.304,N/A N/A,g,Linux,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/11d6871f124ab7817034b0b6e172cec62981a8c7/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-03-25 01:52:42 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,O,Linux,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c2197484967de77167c4c438dcc7a9eecb77ee1d/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-03-25 01:29:28 -0400
develop,discover,gfortran 8.3.0,mpiuni none,N/A N/A,g,Linux,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b230e7b2b998de5f2e0084ce27bed03a948f7d56/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-03-25 01:44:19 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,O,Linux,pass,13685,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/54e5558d8425640938e3e30286507c15022b6b6c/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-25 01:33:09 -0400
develop,discover,gfortran 8.3.0,mpt 2.17,N/A N/A,g,Linux,pass,13685,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/747108237f5b9a494e1eee3d0d1f844e2dcdf436/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-03-25 01:46:28 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9ddbb85f05e43d11584899ad3dfcde38bce4c53c/develop/discover/intel/19.1.3/O/intelmpi/19.1.3.304),2022-03-25 01:53:37 -0400
develop,discover,intel 19.1.3,intelmpi 19.1.3.304,4.8.0 4.5.4,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/043f15454072e83da8bbaee6ccdc3003cc04a3c3/develop/discover/intel/19.1.3/g/intelmpi/19.1.3.304),2022-03-25 02:02:00 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,O,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d39161cbb78630b43ddbe2a79d578f133a49f95e/develop/discover/intel/19.1.3/O/mpt/2.17),2022-03-25 01:46:52 -0400
develop,discover,intel 19.1.3,mpt 2.17,4.8.0 4.5.4,g,Linux,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fd5bef3c64bd1356d004d2a6b97aab78304f244d/develop/discover/intel/19.1.3/g/mpt/2.17),2022-03-25 01:54:12 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,O,Linux,pass,11536,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/21f391155eb785e5cbbe6b6237a237c3fe8af6ce/develop/discover/pgi/20.4/O/mpiuni/none),2022-03-25 02:52:51 -0400
develop,discover,pgi 20.4,mpiuni none,N/A N/A,g,Linux,pass,11536,622,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/602b1576fd7412da4bb25cc38e340f8a9ca3db8f/develop/discover/pgi/20.4/g/mpiuni/none),2022-03-25 03:29:39 -0400
