branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,hash,modified
jedwards_pio_update,gaea,gfortran,8.3.0,mpi,7.7.11,O,Unicos,Pass,9032,1,49,0,80,0,47,3,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,gaea,gfortran,8.3.0,mpi,7.7.11,g,Unicos,Pass,13656,1,49,0,80,0,47,3,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,gaea,gfortran,8.3.0,mpiuni,none,O,Unicos,Fail,fail,fail,fail,fail,fail,fail,0,50,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,gaea,gfortran,8.3.0,mpiuni,none,g,Unicos,Fail,fail,fail,fail,fail,fail,fail,0,50,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,gaea,intel,2019.5,mpi,7.7.11,O,Unicos,Pass,11878,-113,49,0,80,0,47,3,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,gaea,intel,2019.5,mpi,7.7.11,g,Unicos,Pass,11878,-113,49,0,80,0,47,3,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,gaea,intel,2019.5,mpiuni,none,O,Unicos,Fail,fail,fail,fail,fail,fail,fail,0,50,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,gaea,intel,2019.5,mpiuni,none,g,Unicos,Fail,fail,fail,fail,fail,fail,fail,0,50,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:03:30
jedwards_pio_update,orion,gfortran,8.3.0,openmpi,4.0.2,O,Linux,Pass,9033,0,49,0,80,0,50,0,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:04:49
jedwards_pio_update,orion,gfortran,8.3.0,openmpi,4.0.2,g,Linux,Pass,13657,0,49,0,80,0,50,0,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:04:49
jedwards_pio_update,orion,intel,2020,intelmpi,2020.2,O,Linux,Pass,9031,2,49,0,80,0,50,0,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:04:49
jedwards_pio_update,orion,intel,2020,intelmpi,2020.2,g,Linux,Pass,fail,fail,fail,fail,fail,fail,0,0,ESMF_8_3_0_beta_snapshot_06-85-gae1d61d,02/26/2022_18:04:49
