branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,netcdf_c,netcdf_f,artifacts_hash,modified
main,acorn,gfortran,10.3.0,mpich3,8.1.7,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/99885790caa51544d317ccd541cebc711ccb2083),2022-03-02 23:31:40.916600
main,acorn,gfortran,10.3.0,mpich3,8.1.7,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/08591d94a2c5d02b77e090f76a368ea85223cd69),2022-03-02 23:31:40.916600
main,acorn,intel,2019.3,mpi,8.1.7,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/c257a4c490a92a0476c95d473688dbec00786b45),2022-03-02 23:31:40.916600
main,acorn,intel,2019.3,mpi,8.1.7,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/55bb91150d1509d08ee579b935d6f4ff24b9eb85),2022-03-02 23:31:40.916600
main,cheyenne,gfortran,10.1.0,mpt,2.23,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/92f40bbac3b086992314fa7668e0c02cb1df971d),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,10.1.0,openmpi,4.0.5,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/ae2e984a5f4b660cb257d44f7b395829e7529cc6),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,10.1.0,openmpi,4.0.5,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/de4c1d76d0d30f9f23e09b8b84a38bea681d7afc),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,7.4.0,openmpi,4.0.3,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.3,4.5.2,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/ef78df0b798ddf959955eca750fe6697b4310c1a),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,7.4.0,openmpi,4.0.3,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.3,4.5.2,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/489370a8015ccb9a9b278c21d1ad7ffc499cc9a6),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,9.1.0,mpt,2.22,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.3,4.5.2,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/103f80f648685f03db5c8a5578ff93e756a1ee06),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,9.1.0,mpt,2.22,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.3,4.5.2,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/a02d8a36b2db2e687b599a202dc69ada18474b8d),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,9.1.0,openmpi,4.0.5,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.3,4.5.2,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/8d1a7094e39d17c78135ff564b7dff7154d0a464),2022-03-02 23:35:58.526019
main,cheyenne,gfortran,9.1.0,openmpi,4.0.5,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.7.3,4.5.2,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/bdd0bae1cd7587a1572bdc04de7eb1cce08bc47a),2022-03-02 23:35:58.526019
main,cheyenne,intel,18.0.5,intelmpi,2018.4.274,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.6.3,4.4.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/5ac7b1f280acdd28c83605ce8939c53c83c24e3c),2022-03-02 23:35:58.526019
main,cheyenne,intel,18.0.5,mpt,2.19,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.6.3,4.4.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/9e9ef8a835a897d45b9cb3c8b89eba76c4bbd6e7),2022-03-02 23:35:58.526019
main,cheyenne,intel,18.0.5,mpt,2.19,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.6.3,4.4.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/b0b28ace8779be52fd76cc836ebcf6ee175a847d),2022-03-02 23:35:58.526019
main,cheyenne,intel,18.0.5,openmpi,3.1.4,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.6.3,4.4.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/61f0092c59a379bc1028572e9a117db6d10b2124),2022-03-02 23:35:58.526019
main,cheyenne,intel,18.0.5,openmpi,3.1.4,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.6.3,4.4.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/bc034d782c66fd1576e3e3fbbae9af328b6d0327),2022-03-02 23:35:58.526019
main,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,O,Linux,Pass,8926,0,49,0,80,0,44,6,4.8.0,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/5ff84861b7fc405d2b05338a24c0c6e8cb0b60a8),2022-03-02 23:39:03.749536
