branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,netcdf_c,netcdf_f,artifacts_hash,modified
release_8.2.0,discover,gfortran,10.1.0,intelmpi,19.1.3.304,O,Linux,Pass,8911,15,49,0,80,0,50,0,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/20b166eac80aec8f3bd95ff3a3448f6c434800b4),2022-03-03 12:45:30.546643
release_8.2.0,discover,gfortran,10.1.0,intelmpi,19.1.3.304,g,Linux,Pass,8911,15,49,0,80,0,50,0,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/23bde2efd20c4fd8f6cb06c6de6f6f11a698cf40),2022-03-03 12:45:30.546643
release_8.2.0,discover,gfortran,8.3.0,intelmpi,19.1.3.304,O,Linux,Pass,8911,15,49,0,80,0,50,0,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ad02c64c9fb694eda5ca386a08c5376047b84f62),2022-03-03 12:45:30.546643
release_8.2.0,discover,gfortran,8.3.0,mpiuni,none,O,Linux,Fail,7418,0,8,0,43,0,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e38ed011e2d49019bc1534d13eea5d6d15dfb331),2022-03-03 12:45:30.546643
release_8.2.0,discover,gfortran,8.3.0,mpiuni,none,g,Linux,Fail,7418,0,8,0,43,0,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7890d31049db3944d45aceea87a8e5317d94baa6),2022-03-03 12:45:30.546643
release_8.2.0,discover,gfortran,8.3.0,mpt,2.17,O,Linux,Pass,8926,0,49,0,80,0,46,4,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c4016381df044a5bf344cc2819501ae74ce34bf2),2022-03-03 12:45:30.546643
release_8.2.0,discover,gfortran,8.3.0,mpt,2.17,g,Linux,Pass,8926,0,49,0,80,0,46,4,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/466d0416e5ffd38f921dc25960085c2d669c1181),2022-03-03 12:45:30.546643
release_8.2.0,discover,intel,2020,intelmpi,19.1.3.304,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7694216f544e208abeeeb0d0273fc85e67684b0d),2022-03-03 12:45:30.546643
release_8.2.0,discover,intel,2020,intelmpi,19.1.3.304,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2bfaa2c5f669971eb49833335233f05580d9d205),2022-03-03 12:45:30.546643
release_8.2.0,discover,intel,2020,mpt,2.17,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/808e46cf6de8097dd595bc1f600b1db1025ea57c),2022-03-03 12:45:30.546643
release_8.2.0,discover,intel,2020,mpt,2.17,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4f46fecb25b15923d1f22b09cf3fe4dee1663c17),2022-03-03 12:45:30.546643
release_8.2.0,discover,pgi,2020,mpiuni,none,O,Linux,Fail,6796,622,6,2,40,3,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b4f869fd25d26ce283c5d043503a4d97c300cd5b),2022-03-03 12:45:30.546643
release_8.2.0,discover,pgi,2020,mpiuni,none,g,Linux,Fail,6796,622,4,4,40,3,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/43439be033e72786dd0bd5672b57f26503770053),2022-03-03 12:45:30.546643
