branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
release_8.2.0,acorn,gfortran,10.3.0,mpich3,8.1.7,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/18986ed03f86e8b2ca403368537a8e1766f3189a),02/28/2022_15:18:13
release_8.2.0,acorn,gfortran,10.3.0,mpich3,8.1.7,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/818ce84f5700bbe7321693e09f730e07973b97f2),02/28/2022_15:18:13
release_8.2.0,acorn,intel,2019.3,mpi,8.1.7,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4c92a3426d458a306f422f77640b0e28b2b5ba44),02/28/2022_15:18:13
release_8.2.0,acorn,intel,2019.3,mpi,8.1.7,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0aca6bd6d4b0131e49b4ccf3298e6613cf7850d8),02/28/2022_15:18:13
release_8.2.0,cheyenne,gfortran,10.1.0,mpt,2.23,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/066b9419343950b4367fd3b04e6e5344de60e4d9),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,10.1.0,mpt,2.23,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f642a0bfe8027bc79fbf251974b220f841e96a03),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,10.1.0,openmpi,4.0.5,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/64cb846d44e61c71180ba90762817b5e148115a9),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,10.1.0,openmpi,4.0.5,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fbda204ac92c1d9d31376a4d5a8b9108752713aa),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,7.4.0,openmpi,4.0.3,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/28206674af2e356cfe0e5020e7a9a4da9e338b5c),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,7.4.0,openmpi,4.0.3,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5d1a9c30fd97522643f028a4b309d0b0b58903c3),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,9.1.0,mpt,2.22,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7be37e4dc897b5cff1c5b2819706c144157ef0ba),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,9.1.0,mpt,2.22,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3d6530f447e49bc5f17e946965c764d11cadfb6a),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,9.1.0,openmpi,4.0.5,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8171e339f3d4c4caa20658c7108a48c5f3ab11f7),02/28/2022_15:20:50
release_8.2.0,cheyenne,gfortran,9.1.0,openmpi,4.0.5,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/243687853ecf230a603a450efc24782e3f1a7be4),02/28/2022_15:20:50
release_8.2.0,cheyenne,intel,18.0.5,intelmpi,2018.4.274,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b46cd35a12e7e985b01c830089626cf2b3971ea5),02/28/2022_15:20:50
release_8.2.0,cheyenne,intel,18.0.5,intelmpi,2018.4.274,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2fd84f8d92a9e216934f591062a9864686c490d0),02/28/2022_15:20:50
release_8.2.0,cheyenne,intel,18.0.5,mpt,2.19,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/16588d7936d6b6fdb732a97ae15c5db545765647),02/28/2022_15:20:50
release_8.2.0,cheyenne,intel,18.0.5,mpt,2.19,g,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c661ddbadc4490408c51b2aa396891aa51a491f1),02/28/2022_15:20:50
release_8.2.0,cheyenne,intel,18.0.5,openmpi,3.1.4,O,Linux,Pass,8926,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3b5b2b47d4d8520d8c7e3d747469cad3fb190ff1),02/28/2022_15:20:50
